"mode","peel","Year","ssb","recruit_male"
"standard",0,1982,218.22993898,2320288.55320504
"standard",0,1983,237.4418018,2307184.60131515
"standard",0,1984,259.4168384,3885105.89198849
"standard",0,1985,273.74647016,4534435.62523569
"standard",0,1986,299.40607905,170904.54673946
"standard",0,1987,340.088635,1419680.17967214
"standard",0,1988,403.34660674,526634.38768311
"standard",0,1989,467.41700295,853528.20747822
"standard",0,1990,423.52686104,3164479.74328229
"standard",0,1991,386.6603267,4601459.45672782
"standard",0,1992,306.45403411,107470.43983333
"standard",0,1993,278.37291452,112149.93286067
"standard",0,1994,349.6784818,444049.43834549
"standard",0,1995,318.46966397,255920.85304414
"standard",0,1996,328.97970128,354268.32588806
"standard",0,1997,306.77022809,247931.88337368
"standard",0,1998,218.05081505,486519.61959171
"standard",0,1999,181.69445383,341405.80911963
"standard",0,2000,150.57856813,34513.23537947
"standard",0,2001,125.56871908,1432615.46355229
"standard",0,2002,104.47762695,975131.69064064
"standard",0,2003,94.98313004,543922.84020441
"standard",0,2004,86.83217129,2059437.46505326
"standard",0,2005,100.45448305,478557.76901221
"standard",0,2006,125.17942023,450063.34865692
"standard",0,2007,139.79351764,929887.20111465
"standard",0,2008,154.45057535,1424276.45215353
"standard",0,2009,173.9548157,155323.87486186
"standard",0,2010,171.51766686,405463.20163315
"standard",0,2011,171.75800356,120814.59232118
"standard",0,2012,159.09372964,826129.14727945
"standard",0,2013,149.15133625,1232607.92844046
"standard",0,2014,124.63930744,4392201.76314341
"standard",0,2015,108.91037232,7397189.68871444
"standard",0,2016,102.63932174,425559.79439776
"standard",0,2017,148.88857447,1241051.29386583
"standard",0,2018,146.58249966,1756482.15297178
"standard",0,2019,86.90460713,2130586.69631707
"standard",1,1982,217.95531556,2407017.24167574
"standard",1,1983,237.66934167,2407030.57947193
"standard",1,1984,260.09799363,4022876.89493188
"standard",1,1985,275.18334471,4754877.29200314
"standard",1,1986,301.79716704,181787.32108873
"standard",1,1987,343.45800552,1474650.98330991
"standard",1,1988,407.57691251,551365.79915327
"standard",1,1989,472.26543803,892904.98073808
"standard",1,1990,428.4212098,3254568.55227198
"standard",1,1991,390.80384803,4821534.07751911
"standard",1,1992,309.83265672,117065.72190993
"standard",1,1993,281.64325534,119318.83347658
"standard",1,1994,354.14020042,459646.67636096
"standard",1,1995,322.56204876,269965.03160511
"standard",1,1996,332.97227445,366148.8742979
"standard",1,1997,310.1157535,260477.89674029
"standard",1,1998,220.51337844,501107.42345421
"standard",1,1999,183.66278282,361513.02954707
"standard",1,2000,152.2016884,37236.60179253
"standard",1,2001,126.94735126,1477398.78026206
"standard",1,2002,105.62246667,1023751.44336726
"standard",1,2003,95.963636,564646.86710314
"standard",1,2004,87.69229404,2126012.60327481
"standard",1,2005,101.48254429,515567.32406686
"standard",1,2006,126.52578006,474582.08967645
"standard",1,2007,141.24569613,956526.9367352
"standard",1,2008,156.00514198,1485970.52721543
"standard",1,2009,175.49095504,165802.96631206
"standard",1,2010,172.96224612,421935.52548847
"standard",1,2011,173.45633565,127074.95581321
"standard",1,2012,160.88145367,853362.97189278
"standard",1,2013,150.80500402,1266336.30129071
"standard",1,2014,126.02330861,4638236.65259971
"standard",1,2015,110.17331605,7424016.42818464
"standard",1,2016,103.91003443,444001.34955757
"standard",1,2017,151.07038971,1229824.11965675
"standard",1,2018,149.22373684,1675909.40962895
"standard",2,1982,220.15217041,2401141.30858258
"standard",2,1983,238.32387516,2416082.60061032
"standard",2,1984,260.62191437,4050217.48745065
"standard",2,1985,275.8159142,4752796.56230647
"standard",2,1986,302.66085133,184398.76037713
"standard",2,1987,344.49831914,1471593.09410471
"standard",2,1988,408.58270706,552645.43540415
"standard",2,1989,473.22392611,894904.71220715
"standard",2,1990,429.32829321,3269815.08409009
"standard",2,1991,391.28909126,4813086.74396777
"standard",2,1992,310.06898306,117760.60467273
"standard",2,1993,281.6815907,118970.07634016
"standard",2,1994,354.10488013,455186.33263882
"standard",2,1995,322.48217786,284849.02607396
"standard",2,1996,332.73778243,355748.0737209
"standard",2,1997,309.68155872,264917.51983409
"standard",2,1998,220.08504988,496261.11947319
"standard",2,1999,183.25499432,367312.99435767
"standard",2,2000,151.93585021,38770.9122354
"standard",2,2001,126.79317918,1476832.16426637
"standard",2,2002,105.42490657,1026331.79548842
"standard",2,2003,95.72905523,556325.82429798
"standard",2,2004,87.46663134,2128973.32388136
"standard",2,2005,101.34816301,510699.3069878
"standard",2,2006,126.37460604,502667.24925508
"standard",2,2007,140.98754598,941206.19926912
"standard",2,2008,155.58747693,1489638.14637397
"standard",2,2009,174.94048521,160035.30664408
"standard",2,2010,172.52451867,425132.77517823
"standard",2,2011,173.32732697,141205.33081696
"standard",2,2012,160.93066993,747304.68735893
"standard",2,2013,150.68005393,1203653.6604572
"standard",2,2014,125.77050986,3854735.71454316
"standard",2,2015,109.35053727,6306115.98661008
"standard",2,2016,101.56261005,1166986.77597878
"standard",2,2017,139.9048871,1375605.86824479
"standard",3,1982,217.3894219,1945344.65195696
"standard",3,1983,234.39234093,1934825.16798969
"standard",3,1984,255.18233836,3392272.07417495
"standard",3,1985,268.06820124,3689083.108603
"standard",3,1986,291.41805361,151872.32186294
"standard",3,1987,328.99018262,1208157.39405879
"standard",3,1988,388.70018148,428182.1758322
"standard",3,1989,450.23128262,714193.99868666
"standard",3,1990,405.87818135,2839965.11675359
"standard",3,1991,370.9486217,3732331.37652217
"standard",3,1992,293.09668711,94865.54420515
"standard",3,1993,265.07719016,104111.15089235
"standard",3,1994,331.94502232,380182.36923146
"standard",3,1995,302.24757226,176980.71302477
"standard",3,1996,313.32741033,355506.40766116
"standard",3,1997,293.3342233,147965.86370045
"standard",3,1998,207.50106787,471018.63085445
"standard",3,1999,173.62076746,250924.27918023
"standard",3,2000,143.87029074,31393.9387493
"standard",3,2001,119.77488288,1275645.4809861
"standard",3,2002,99.68693684,755396.35042849
"standard",3,2003,90.88491081,531018.21146402
"standard",3,2004,83.52905749,1753465.91269558
"standard",3,2005,96.72494948,333616.31395478
"standard",3,2006,120.40868823,399060.226426
"standard",3,2007,134.49747562,796675.64895539
"standard",3,2008,148.70044348,1185350.35067059
"standard",3,2009,168.24575996,99932.79928816
"standard",3,2010,165.72846223,379126.39826563
"standard",3,2011,164.61464866,522028.92089512
"standard",3,2012,151.46532622,577824.42167271
"standard",3,2013,142.16433139,839914.55823324
"standard",3,2014,120.67124452,2914895.10273522
"standard",3,2015,110.86341119,3165065.47299112
"standard",3,2016,108.17346573,1964328.64325402
"standard",4,1982,215.85648739,2075082.22899747
"standard",4,1983,234.56656533,2063948.85001125
"standard",4,1984,255.6986296,3551866.35732459
"standard",4,1985,268.98669211,4002384.40726257
"standard",4,1986,293.02848763,171189.95766674
"standard",4,1987,331.53801199,1258636.04368229
"standard",4,1988,392.40047027,496649.30746802
"standard",4,1989,454.85552393,724183.09181557
