#========================================================================================================																													
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																					
#	GEAR_INDEX	DESCRIPTION																											
#	1	:	Pot	fishery	retained	catch.																							
#	1	:	Pot	fishery	with	discarded	catch.																						
#	2	:	Trawl	bycatch																									
#	3	:	Trawl	survey																									
#	Fisheries:	1	Pot	"Fishery,"	2	Pot	"Discard,"	3	Trawl	"by-catch,"	4	Tanner bycatch 5 fixed gear																	
#	Surveys:	6	NMFS	Trawl	"Survey,"	7	BSFRF	Survey																					
#========================================================================================================																													
1982	# Start	year																											
2019	# End	year																											
3	# Number of seasons																												
4	# Number of fleets (fishing fleets and surveys)																												
2	# Number of sexes																												
1	# Number of shell condition types																												
2	# Number of maturity types																												
22	# Number of size-classes in the	model																											
3	# Season recruitment occurs																												
3	# Season molting and growth occurs																												
3	# Season to calculate SSB																												
1	# Season for N output																												
# maximum size-class (males then females)																													
22 22																													
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																			
25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)													
1																													
#	Proportion of the total	natural	mortality to be	applied	each	season																							
#0.625 0.00 0.375																													
0.62 0.01 0.37																													
# Fishing fleet	names (delimited with spaces; no spaces in names)																												
Pot_Fishery Trawl_Bycatch																													
# Survey names (delimited with spaces; no spaces in names)																													
NMFS_Trawl_1982 NMFS_Trawl_1989																													
# Are the seasons instantaneous (0) or continuous (1)																													
1 1 1																													
# Input catch data format (0: old; 1:new)																													
0																													
# Number of catch data frames																													
4																													
# Number of rows in each data frame																													
38	38	38	38
##		##																											
##	CATCH	DATA																											
##	Type of	"catch: 1 = retained, 2"	"= discard, 0 ="	total																									
##	Units of catch:	"1 = biomass, 2 = numbers"																											
##	for snow Units	are in 1000 mt	for landed & discards.																										
##		##																											
##	Male	retained	pot	fishery	(tonnes)																								
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
1984	2	1	1	1	0	0	100	0	0	0	0	0	0	0	6.74E-05	0	0.000202265	0.000134844	0.001685545	0.005326318	0.02117045	0.068568	0.1681495	0.2284249	0.2343583	0.1687563	0.0788161	0.02009168	0.00424758
1985	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	5.20E-05	0.000311705	0.00135072	0.00493532	0.02613126	0.09081	0.1857234	0.22105	0.2136211	0.149203	0.0753285	0.02576755	0.00571458
1986	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.001191021	0.00458085	0.03041682	0.100962	0.166193	0.2188732	0.2183231	0.1511677	0.0790655	0.02382047	0.00540541
1987	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.002413513	0.010324468	0.01863771	0.0754894	0.1863766	0.2288815	0.2153393	0.1543311	0.0821936	0.02252612	0.003486185
1988	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.00274904	0.00655697	0.02184975	0.0728395	0.1607883	0.2005376	0.2102102	0.1661033	0.1072941	0.041256	0.00981511
1989	2	1	1	1	0	0	100	0	0	0	0	0	0	0	6.23E-05	0.000218007	0.000342583	0.001463768	0.002616093	0.006882809	0.026129722	0.08770124	0.19701647	0.21859907	0.17951344	0.14366726	0.08944532	0.035753259	0.010588944
1990	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.000723327305605787	0.00216998191681736	0.00976491862567812	0.0314647377938517	0.0741410488245931	0.149005424954792	0.2	0.241591320072333	0.148643761301989	0.14249547920434
1991	2	1	1	1	0	0	100	0	0	0	0	0	0	5.45327632841811e-06	5.45327632841811e-06	1.63598289852543e-05	0.000239944158450397	0.000572594014483902	0.00188683360963267	0.00432444812843556	0.0147292993630573	0.0439915801413489	0.119050475525696	0.18643115783963	0.225067620626472	0.196781476310968	0.128675508245354	0.0564523165517843	0.0215622546025652
1992	2	1	1	1	0	0	100	0	0	0	0	0	7.98110075341591e-06	7.98110075341591e-06	4.38960541437875e-05	2.39433022602477e-05	0.000159622015068318	0.000706327416677308	0.00249808453581918	0.0065205593155408	0.0168600753415911	0.0456040097050185	0.119333418465075	0.189567105095135	0.240821734133572	0.206187747414123	0.119161824798876	0.0408951602605031	0.01160052994509
1993	2	1	1	1	0	0	100	0	0	0	0	0	0	1.15547492908273e-05	1.15547492908273e-05	8.66606196812045e-05	0.000392861475888127	0.0012305807994731	0.00358197228015645	0.00714083506173125	0.0200474900195853	0.0609455251344684	0.150685485501678	0.211665674884019	0.220741930451964	0.174372721547874	0.100318333342962	0.0375356030712524	0.0112312163106841
1994	2	1	1	1	0	0	100	0	0	0	1.92165415990084e-05	0	2.88248123985126e-05	9.60827079950421e-06	1.92165415990084e-05	8.64744371955379e-05	0.000874352642754883	0.00304582184344284	0.00754249257761081	0.0130576400165262	0.0358772831653487	0.0965150801810198	0.177272596250853	0.202455874016353	0.185968081324404	0.141452962710301	0.0875313469834834	0.0362327891849304	0.0120103384993803
1995	2	1	1	1	0	0	100	0	0	0	0	0	0	1.02920895000103e-05	4.11683580000412e-05	0.000164673432000165	0.000566064922500566	0.00218192297400218	0.00700891294950701	0.0177950227455178	0.0418682200860419	0.106646631399107	0.194232313044194	0.212531648175213	0.187573331137688	0.129052510240629	0.0694716041250695	0.0237541425660238	0.0071015417550071
1996	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	3.9151815078147e-05	0.000101794719203182	0.000501143233000282	0.00166786732232906	0.00542644156983118	0.021995489710903	0.0955304287906787	0.253782065336549	0.262403295016757	0.188531650327309	0.104707614244996	0.0464653741347449	0.0149951451749303	0.00385253860368967
1997	2	1	1	1	0	0	100	0	0	0	0	0	0	0	5.5229700323646e-06	2.20918801294584e-05	0.000127028310744386	0.00034794711203897	0.0006240956136572	0.00185571793087451	0.00738421093327148	0.0425931448895958	0.159243794943169	0.245368989627862	0.244010338999901	0.16949995029327	0.0858048624228165	0.0329445162430549	0.0101677878295832
1998	2	1	1	1	0	0	100	0	0	0	0	0	0	0	1.97748305956179e-05	2.63664407941572e-05	9.22825427795502e-05	0.000210931526353258	0.000665752630052469	0.00188520051678224	0.00905028080259446	0.0468663485116144	0.161856988425132	0.247257890157408	0.249070582962006	0.173946001529254	0.0796727924697445	0.0239473198512933	0.00543148680359638
1999	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0.000104224569205114	0.000173707615341857	0.000173707615341857	0.000451639799888827	0.00104224569205114	0.00142440244580322	0.00660088938299055	0.0353321289605336	0.131079766536965	0.217204002223457	0.261916342412451	0.20115341856587	0.105892162312396	0.0299124513618677	0.00753891050583658
2000	2	1	1	1	0	0	100	0	0	0	0	0	0	0	3.36202259279182e-05	0	0.000100860677783755	0.000537923614846692	0.00141204948897257	0.00322754168908015	0.00695938676707907	0.0280392684238838	0.111350188273265	0.193618881118881	0.244082840236686	0.223305540613233	0.132228348574502	0.0434373318988704	0.0116662183969876
2001	2	1	1	1	0	0	100	0	0	0	0	0	0	3.42125970782442e-05	0	0.000102637791234733	0.000239488179547709	0.000821102329877861	0.0017790550480687	0.00396866126107633	0.0126586609189504	0.0514899586027575	0.179581922063704	0.224058298265421	0.214581408874748	0.169318142940231	0.097642752061309	0.0352047623935133	0.00851893667248281
2002	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0.000104043837136714	0.000762988139002566	0.00239300825414441	0.0068668932510231	0.0244156204480821	0.0962405493514601	0.249601165290976	0.263092182839703	0.186966775334674	0.110876049108691	0.0441492682250121	0.0119650412707221	0.00256641464937227
2003	2	1	1	1	0	0	100	0	0	0	0	0	0	0	3.6187305493233e-05	0.000108561916479699	0.000180936527466165	0.000289498443945864	0.000434247665918796	0.00144749221972932	0.00665846421075487	0.0392270391546645	0.154375045234132	0.244915683578201	0.250379966707679	0.183180140406745	0.0869219077947456	0.0264167330100601	0.00542809582398495
2004	2	1	1	1	0	0	100	0	0	0	0	0	0	0	4.4674767691208e-05	4.4674767691208e-05	0.000312723373838456	0.00044674767691208	0.00089349535382416	0.00245711222301644	0.00826483202287348	0.0301554681915654	0.096006075768406	0.174008220157255	0.228779485346676	0.225384203002144	0.150419942816297	0.064644388849178	0.0181379556826304
2005	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	2.46974561620153e-05	2.46974561620153e-05	0.000271672017782168	0.000469251667078291	0.000815016053346505	0.00167942701901704	0.00664361570758212	0.0450234625833539	0.116448505803902	0.208742899481353	0.256483082242529	0.217238824401087	0.108273647814275	0.0378612002963695
2006	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	2.89737497826969e-05	2.89737497826969e-05	5.79474995653938e-05	0.000753317494350119	0.00153560873848293	0.00480964246392768	0.0356956597322826	0.208524077186069	0.333429912499276	0.239497015703772	0.0983658805122559	0.0456336559077476	0.0203105985976705	0.0113287361650345
2007	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	4.01123144805455e-05	6.01684717208183e-05	0.000100280786201364	0.000340954673084637	0.00128359406337746	0.00435218612113919	0.037204171680706	0.210449257922182	0.322001604492579	0.234075411151223	0.116706778981147	0.054191736863217	0.0156237464901725	0.00356999598876855
2008	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	2.01967160139761e-05	0.000121180296083857	0.000403934320279523	0.000929048936642902	0.00521075273160584	0.0387978914628481	0.184900935107951	0.284066810736574	0.237513380324359	0.141578979257973	0.0756367014723406	0.0257912063498475	0.00502898228748006
2009	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	3.25256139209628e-05	3.25256139209628e-05	9.75768417628883e-05	0.000195153683525777	0.000455358594893479	0.00253699788583509	0.0187998048463165	0.116701902748414	0.213107822410148	0.234834932509351	0.212067002764677	0.136672629695886	0.0518458285900146	0.0126199382013335
2010	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	8.2092819614711e-05	0.000355735551663748	0.0015050350262697	0.0104257880910683	0.0615969789842382	0.143306698774081	0.228108581436077	0.26975700525394	0.191577276707531	0.075005472854641	0.0182793345008757
2011	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	1.70943093044326e-05	0	0.000188037402348758	0.000529923588437409	0.00116241303270141	0.00211969435374964	0.0123762799364092	0.0655395818731944	0.142104993247748	0.217542180208209	0.255935998905964	0.194276825244876	0.0831296261474555	0.0250773517496026
2012	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	2.15842866393266e-05	0	6.47528599179797e-05	0.000280595726311245	0.000798618605655083	0.0034966544355709	0.0257716382473559	0.124390243902439	0.20127347291172	0.214849989207857	0.20353982300885	0.144506799050291	0.0608892726095403	0.0201165551478524
2013	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	5.1263648946532e-05	0.00012815912236633	0.00012815912236633	0.000974009329984108	0.00712564720356795	0.0630030245552878	0.21833188086328	0.259009586302353	0.198364689598606	0.128979340749475	0.079689342287384	0.0335776900599785	0.0106372071564054
2014	2	1	1	1	0	0	100	0	0	0	0	0	0	0	2.18684394681596e-05	2.18684394681596e-05	2.18684394681596e-05	2.18684394681596e-05	0.000349895031490553	0.000612316305108467	0.00441742477256823	0.0399755073477957	0.203354618614416	0.292402904128761	0.227213086074178	0.126968159552134	0.067026766969909	0.0282540237928621	0.00933782365290413
2015	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	3.27332242225859e-05	0.000196399345335516	0.000229132569558101	0.000490998363338789	0.00304418985270049	0.0351554828150573	0.141472995090016	0.196988543371522	0.185597381342062	0.163895253682488	0.145466448445172	0.0913584288052373	0.0360720130932897
2016	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	9.77039570102589e-05	0.000146555935515388	0.000146555935515388	0.000586223742061553	0.00337078651685393	0.0348314606741573	0.156277479237909	0.226722032242306	0.196336101612115	0.161944308744504	0.130337078651685	0.0651196873473376	0.0240840254030288
2017	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0.000131926121372032	0	0.000263852242744063	0.000263852242744063	0.000527704485488127	0.00521108179419525	0.0631266490765171	0.253298153034301	0.283311345646438	0.205672823218997	0.1155672823219	0.0515831134564644	0.0172163588390501	0.00382585751978892
2018	2	1	1	1	0	0	100	0	0	0	0	0	0	9.08059023836549e-05	0	0	0.00018161180476731	0.000454029511918275	0.000953461975028377	0.00149829738933031	0.00449489216799092	0.0572531214528944	0.238274687854711	0.27155505107832	0.19800227014756	0.123087400681044	0.0652894438138479	0.0290578887627696	0.00980703745743473
2019	2	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	6.43790639284105e-05	9.65685958926157e-05	0.000386274383570463	0.000836927831069336	0.00968904912122578	0.0960857529131526	0.293890426833194	0.269072297688792	0.161366123736561	0.0868795467713899	0.0466748213480976	0.023369600206013	0.0115882315071139
# Total	males						
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	27.5	32.5	37.5	42.5	47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5																					
1990	2	1	1	0	0	0	100	3.13636933885334e-05	3.13636933885334e-05	1.25454773554134e-05	5.01819094216535e-05	9.40910801656003e-05	0.000169363944298081	0.000520637310249655	0.00195709446744449	0.0035629155689374	0.00914565299209635	0.0157947559904654	0.022776314138753	0.0451198093087442	0.0981432693513988	0.156962739932254	0.194655626646594	0.16356793375988	0.134010789110526	0.0884957972650859	0.0446368084305608	0.0153807552377368	0.0047860996110902
1991	2	1	1	0	0	0	100	1.6461989266783e-05	0	8.2309946333915e-06	8.2309946333915e-06	8.2309946333915e-06	8.2309946333915e-06	0.000148157903401047	0.000296315806802094	0.00098771935600698	0.003679254601126	0.00721035129885095	0.0134906002041287	0.0221578375530899	0.048776874197478	0.085421262305337	0.135292858789056	0.174488855233266	0.197757877061864	0.162364600138281	0.0932654001909591	0.0383975899647713	0.0161739044546143
1992	2	1	1	0	0	0	100	0	0	0	7.35326558524641e-06	0	1.47065311704928e-05	0.000139712046119682	0.00028677735782461	0.000764739620865626	0.00443401914790358	0.0101033869141286	0.0213244701972146	0.0333176463667515	0.0532008765092578	0.0774004735503037	0.127483565451417	0.173022339220848	0.212604967866229	0.166580878568172	0.0877391649631601	0.0252217009573952	0.0063532214656529
1993	2	1	1	0	0	0	100	5.98813152332078e-06	0	0	0	0	5.98813152332078e-06	4.19169206632454e-05	0.000275454050072756	0.00165871243195986	0.00793427426840003	0.0247669119804547	0.0416953597968826	0.0495278358293862	0.0705761181338587	0.0975526506464188	0.135529380767319	0.162859213039755	0.172679748738001	0.131846679880477	0.0698156254303969	0.0254076420534501	0.00782049976945694
1994	2	1	1	0	0	0	100	0	0	0	0	0	1.29362759048925e-05	0.000336343173527205	0.00272955421593232	0.0107888541046803	0.0426638379343355	0.081110449923676	0.095430907350392	0.0868282838736385	0.087966676153269	0.0976688830819384	0.118884375565962	0.123140410338672	0.105016687795917	0.07942873405604	0.0444878528369253	0.0178520607487517	0.00565315257043802
1995	2	1	1	0	0	0	100	0	0	0	0	0	0	0.000210451550107199	0.00176253173214779	0.00569534507477607	0.0225972351927605	0.0499427834848146	0.0857063937811567	0.10747497599537	0.125481736751417	0.119944230339222	0.125021373985558	0.117760795506859	0.107369750220316	0.0761045418075157	0.0385652465571442	0.0129953832191195	0.00336722480171518
1996	2	1	1	0	0	0	100	0	0	0	7.78646401096334e-06	0	0	7.00781760986701e-05	0.000459401376646837	0.00185317843460928	0.00629924938486934	0.0160245429345626	0.036526302675429	0.0659824960289034	0.117957143302084	0.174518017877721	0.204893013984489	0.169986295823341	0.113152895007319	0.0585542093624443	0.0246052262746442	0.0075606565546454	0.00154171987417074
1997	2	1	1	0	0	0	100	0	0	0	3.67963615757674e-06	0	0.000103029812412149	0.00018030217172126	0.000588741785212278	0.00174414753869137	0.00579910658434094	0.0124150923956639	0.0249442535122127	0.0432541230323146	0.0813346776270762	0.137898044641346	0.173388135381174	0.179643516849054	0.156965919209909	0.10404539199164	0.0514265949382925	0.0196418978091446	0.00662334508363813
1998	2	1	1	0	0	0	100	0	0	0	0	0	8.87193363793639e-06	8.87193363793639e-05	0.000434724748258883	0.00141063744843189	0.00447145455351994	0.00995430954176463	0.0209998669209954	0.0362152331100563	0.0747016812314244	0.130364192875837	0.177287849886883	0.187206671694096	0.172807523399725	0.115485960165018	0.0510047464844963	0.0143725324934569	0.00318502417601916
1999	2	1	1	0	0	0	100	1.9702880561138e-05	0	0	0	0	0	5.91086416834141e-05	0.00132009299759625	0.00323127241202664	0.00711273988257083	0.0116641052921937	0.0149544863459038	0.0172794262521181	0.0353469677266816	0.0733932300902392	0.126295464396895	0.179315915986917	0.215628324861095	0.18039957441778	0.096209165780037	0.0312093628088427	0.00656105922685897
2000	2	1	1	0	0	0	100	0	0	0	0	0	1.53701910514748e-05	4.61105731544243e-05	0.000368884585235394	0.000906841272037011	0.00224404789351532	0.00697806673736955	0.0165998063355927	0.0283426322989195	0.048723505633175	0.0931279875808856	0.152856550006917	0.189037979742088	0.1948940225327	0.158804813943837	0.078311123407264	0.0229630654309033	0.00577919183535451
2001	2	1	1	0	0	0	100	0	0	0	1.11522505241558e-05	0	2.23045010483115e-05	0.00021189275995896	0.000657982780925191	0.00210777534906544	0.00863184190569657	0.0189588258910648	0.0364232502118928	0.0507985011375296	0.0779542311638489	0.131964580452335	0.185093901949413	0.177722264352946	0.142548066199759	0.0966454030423339	0.0500847571039836	0.0161261542579293	0.00403711468974439
2002	2	1	1	0	0	0	100	0	8.12611734113441e-05	9.48047023132347e-05	4.0630586705672e-05	2.70870578037814e-05	1.35435289018907e-05	0.000176065875724579	0.000907416436426675	0.00308792458963107	0.0091554255376781	0.0225093450349423	0.045966737093017	0.0730808819546021	0.122392870686386	0.179126713256406	0.197843870198819	0.158405114036513	0.102646405547429	0.0551357061595969	0.0222791050436102	0.00568828213879408	0.00134080936128718
2003	2	1	1	0	0	0	100	0	0	0	0	0	2.27852716004375e-05	9.11410864017499e-05	0.00027342325920525	0.000865840320816624	0.00373678454247175	0.00715457528253737	0.014218009478673	0.0235827561064528	0.0516086401749909	0.0946728034998177	0.159155122129056	0.199234414874225	0.203518045935108	0.148332118118848	0.0700647101713452	0.0190257017863653	0.00444312796208531
2004	2	1	1	0	0	0	100	0	0	0	0	2.27066303360581e-05	4.54132606721163e-05	0.000113533151680291	0.00224795640326975	0.00535876475930972	0.0106267029972752	0.0135558583106267	0.0168483197093551	0.0227520435967302	0.0376702997275204	0.0645776566757493	0.104019073569482	0.162193460490463	0.200544959128065	0.185853769300636	0.118346957311535	0.0440281562216167	0.0111943687556767
2005	2	1	1	0	0	0	100	0	0	0	0	7.9203529309266e-06	8.71238822401926e-05	0.000324734470167991	0.000871238822401926	0.00198008823273165	0.00460172505286836	0.0123636709251764	0.0290518545506388	0.0417006581813286	0.0487418519369223	0.0609787972152039	0.0914325542346167	0.123042682781945	0.169709402250964	0.182651258940098	0.140974361817563	0.0657706107384145	0.0257094656137878
2006	2	1	1	0	0	0	100	0	0	0	0	0	0	5.89525314216992e-05	0.000359610441672365	0.00080764968047728	0.00289456929280543	0.0095267290777466	0.0334142948098191	0.0582274152852123	0.0756832598391775	0.119508571698069	0.209664678001273	0.238804914283019	0.14586624849671	0.0588110453462872	0.0287865210932157	0.0127396420402292	0.00484589808286368
2007	2	1	1	0	0	0	100	0	0	4.49016429511156e-06	0	0	4.49016429511156e-06	1.34704928853347e-05	0.000237978707640913	0.000790268915939634	0.00263123627693537	0.00598987916967882	0.0173410145077208	0.0319205779739481	0.0653767921368243	0.123205618093566	0.215774845201586	0.240219299624173	0.167375364264578	0.0808454081334836	0.0353555536597084	0.0104531024790197	0.00246061003372113
2008	2	1	1	0	0	0	100	0	0	0	0	5.20231815296896e-06	0	5.20231815296896e-06	9.88440449064103e-05	0.000457803997461269	0.00120173549333583	0.00312139089178138	0.0101809366253603	0.0220058057870587	0.0537711604290872	0.1211671921008	0.214574814537358	0.235628596102423	0.176972458927698	0.0963105159659144	0.0465555451509193	0.0150190925076214	0.00292370280196856
2009	2	1	1	0	0	0	100	0	0	0	0	0	0	3.85914134105162e-05	0.000192957067052581	0.000713941148094549	0.00210323203087313	0.00491397330760572	0.00960283003698344	0.016671490593343	0.0389966232513266	0.0915709921209198	0.153928284290079	0.190448625180897	0.186640939057726	0.160437369351986	0.09794500723589	0.0367711850779868	0.0090239588358257
2010	2	1	1	0	0	0	100	0	0	0	0	0	0	5.30906735613755e-06	3.18544041368253e-05	0.000122108549191164	0.000408798186422591	0.000854759844338145	0.00215548134659184	0.00482063315937289	0.0161554919647266	0.0483178220082078	0.0989981789898969	0.154945130788874	0.209755942173638	0.230838248644861	0.15919769374114	0.058978429259332	0.0144141178719134
2011	2	1	1	0	0	0	100	0	0	0	0	6.04799690342559e-06	0.000139103928778788	0.000622943681052835	0.00187487904006193	0.0022921908263983	0.00339897425972518	0.00602985291271531	0.0125798335591252	0.0160997677569189	0.0235871879233598	0.0487105670601897	0.0921351848267854	0.134791706986646	0.186804480356106	0.214891377975614	0.162848364621637	0.0699027482097929	0.0232847880781885
2012	2	1	1	0	0	0	100	0	0	4.27120439421508e-06	0	0	1.28136131826452e-05	0.000132407336220668	0.000700477520651273	0.00151200635555214	0.00325892895278611	0.00846125590494008	0.0183747213039133	0.0281344233446947	0.0448049340953162	0.0905452619529655	0.155352246226391	0.176148740421824	0.168853523316505	0.145554103346062	0.100685101184832	0.0434338774847732	0.0140138216174197
2013	2	1	1	0	0	0	100	0	0	0	0	0	2.91611989418651e-05	9.58153679518424e-05	0.000662375804536649	0.00157470474286071	0.00474910954196088	0.0130600512403924	0.0322231248307609	0.0508238038701077	0.0895873690349726	0.162194588514654	0.203765960549064	0.176246120519069	0.121448061821742	0.0763273552875502	0.0444375013018392	0.0172509321168947	0.00551563248557562
2014	2	1	1	0	0	0	100	0	0	0	0	0	9.51289234735375e-06	9.98853696472144e-05	0.000713466926051531	0.00195014293120752	0.00685403893626838	0.0193159279113018	0.0412479012181259	0.0526823978196451	0.0726404459643932	0.131387312655476	0.199970510033723	0.202305925104999	0.139720606351758	0.0746333969111639	0.0376520279108261	0.014454839921804	0.00435690469508802
2015	2	1	1	0	0	0	100	0	0	0	0	6.6917383797963e-06	6.6917383797963e-06	0.000167293459494908	0.000461729948205945	0.00206105542097726	0.00588203803584095	0.0158928786520162	0.0327226006772039	0.0510981142681246	0.0854401156332392	0.133734391520229	0.159477509067306	0.149245841084597	0.120377681714156	0.0952635875747802	0.0795313106438791	0.0478994633225819	0.0207243137622292
2016	2	1	1	0	0	0	100	0	0	0	0	0	1.10734613425465e-05	8.85876907403716e-05	0.000365424224304033	0.00161672535601178	0.00606825681571546	0.0165548247071069	0.0339290855535623	0.0504949837220118	0.0789537793723562	0.129648085398534	0.161096715611366	0.152913427679224	0.12276039244347	0.0977122228866299	0.0804708435762851	0.046608198790778	0.0207073727105619
2017	2	1	1	0	0	0	100	0	0	0	0	0	4.64716406812743e-05	0.000360155215279875	0.00191695517810256	0.00414759393080373	0.0119548295652578	0.027755187396891	0.0458558914422474	0.0651300044148059	0.108290540697539	0.177359016660083	0.199061272858238	0.160710551386017	0.105885633292283	0.0569161419243906	0.0247926203034598	0.00734251922764133	0.00247461486627785
2018	2	1	1	0	0	0	100	0	0	0	0	0	0.000108365255931643	0.000373860132964169	0.00193431981837983	0.00432377371167256	0.0128304463023066	0.0354246021640542	0.0700635562226039	0.0959682706530632	0.129870340971278	0.173178515504359	0.181761043774145	0.13313213517482	0.082536397180336	0.0443809905668045	0.0224966271314091	0.00863671089775196	0.00298004453812019
2019	2	1	1	0	0	0	100	0	0	0	0	3.05822555636768e-06	2.44658044509415e-05	0.000198784661163899	0.000770672840204656	0.00255667656512338	0.00830614061109463	0.0232883876117399	0.0587362800355977	0.103692195714203	0.171202524871019	0.232474073892846	0.189594693367015	0.107869731824201	0.0548553918045672	0.0266065623403989	0.0122726591577035	0.00534272004697434	0.0022049806261411
# Discard	females							1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	27.5	32.5	37.5	42.5	47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5
1990	2	1	2	2	0	0	100	0.000830823553847752	0.00103852944230969	0.00446567660193167	0.00820438259424655	0.0314674421019836	0.121611797694465	0.215598712223492	0.252466507425485	0.230865095025444	0.0998026794059612	0.0229515006750441	0.00571191193270329	0.00197320594038841	0.00145394121923357	0.000934676498078721	0.000207705888461938	0.000103852944230969	0	0	0	0	0.000103852944230969
1991	2	1	2	2	0	0	100	0	0	0.000731528895391368	0.00146305779078274	0.0131675201170446	0.0351133869787857	0.0819312362838332	0.141185076810534	0.264813460131675	0.264081931236284	0.0885149963423555	0.0343818580833943	0.013899049012436	0.0204828090709583	0.013899049012436	0.013899049012436	0.00658376005852231	0.00585223116313094	0	0	0	0
1992	2	1	2	2	0	0	100	0	0	0	0	0.00364583333333333	0.0458333333333333	0.0833333333333333	0.159375	0.219270833333333	0.231770833333333	0.1359375	0.075	0.0208333333333333	0.01875	0.00416666666666667	0.00208333333333333	0	0	0	0	0	0
1993	2	1	2	2	0	0	100	0	0	0	0.000785545954438335	0.00549882168106834	0.0416339355852317	0.126472898664572	0.257659073055774	0.300078554595444	0.170463472113119	0.0353495679497251	0.0180675569520817	0.0204241948153967	0.00785545954438335	0.011783189316575	0.00392772977219167	0	0	0	0	0	0
1994	2	1	2	2	0	0	100	0	0	0	0	0.00185528756957328	0.0185528756957328	0.0760667903525046	0.148423005565863	0.239332096474954	0.350649350649351	0.0871985157699443	0.0185528756957328	0.0222634508348794	0.0148423005565863	0.0111317254174397	0.00371057513914657	0.00742115027829314	0	0	0	0	0
1995	2	1	2	2	0	0	100	0	0	0	0	0.00735294117647059	0.0220588235294118	0.117647058823529	0.183823529411765	0.360294117647059	0.176470588235294	0.0735294117647059	0.0367647058823529	0.0147058823529412	0	0.00735294117647059	0	0	0	0	0	0	0
1996	2	1	2	2	0	0	100	0	0	0	0	0.00127064803049555	0.00508259212198221	0.108005082592122	0.269377382465057	0.306226175349428	0.254129606099111	0.0419313850063532	0.00381194409148666	0.00635324015247776	0.00254129606099111	0	0	0	0.00127064803049555	0	0	0	0
1997	2	1	2	2	0	0	100	0	0	0.000938086303939962	0.00187617260787992	0.024390243902439	0.109756097560976	0.215759849906191	0.304878048780488	0.236397748592871	0.0769230769230769	0.0206378986866792	0.00562851782363977	0.000938086303939962	0	0.000938086303939962	0	0	0.000938086303939962	0	0	0	0
1998	2	1	2	2	0	0	100	0	0	0	0.00900900900900901	0.027027027027027	0.0720720720720721	0.18018018018018	0.369369369369369	0.288288288288288	0.018018018018018	0	0.00900900900900901	0	0.018018018018018	0.00900900900900901	0	0	0	0	0	0	0
1999	2	1	2	2	0	0	100	0	0	0	0	0	0.01	0.03	0.11	0.38	0.34	0.07	0.04	0.02	0	0	0	0	0	0	0	0	0
2000	2	1	2	2	0	0	100	0	0	0	0	0	0.0666666666666667	0	0.266666666666667	0	0.333333333333333	0.133333333333333	0.133333333333333	0.0666666666666667	0	0	0	0	0	0	0	0	0
2001	2	1	2	2	0	0	100	0	0	0	0.0017921146953405	0.0376344086021505	0.247311827956989	0.403225806451613	0.175627240143369	0.0878136200716846	0.028673835125448	0.0017921146953405	0	0.0017921146953405	0.003584229390681	0.0017921146953405	0.0017921146953405	0.00537634408602151	0	0.0017921146953405	0	0	0
